"review","reply"
"Portion: 4/5 (Just nice)
Pasta Taste: 3/5 (Can be better)
Coleslaw Taste: 4/5 (Similar to KFC)
Fries Taste: 3/5
Garlic Chili Taste: 3/5 (Garlicky and Spicy)
---
Will you return to purchase? Yes.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"it still hot when i open the container???????????? ????????????????????????????","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"Generous portion. lamb chop comes with 3 pieces. 5pc chicken has lots of fries. Coleslaw is freshly made & crunchy.  taste is above average. for the price & taste, must order again & again.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"portion was great but a bit too salty ","Thank you for your valuable feedback ???? we will look into it.Hope you have enjoyed your meal and hear from you again ????"
"this is my 2nd time ordering, the chicken bread is very delicous","Really appreciate the comments. It gives my team and myself a real boost toward what we do for our valued customers. Hope to see you soon
"
"Regular customer. Bought 2 packets of noodles and requested for soup in the comments but it was not provided at all. Disappointed. ","Hi . Sorry might have missed . Sorry for the inconvenience caused"
"Missing the crispy egg floss and rice","We are sorry that miss out the crispy rice and egg floss,do let us know for your next order, or drop by our restaurant for the missing item. sorry once again"
"The food is packed nicely most important the food taste good ???? will definitely recommend and order again ????","???? thank you for your kind words ???????? we look forward to serving you again"
"I paid $20 for not getting my porridge, a note mentioning how hardwarking the workers are and the portion of noddles served were so little. I honestly need a refund or some compensation","Dear Valued customer,
We are truly sorry about the unpleasant experience you faced and would like you to get in-touch with us at feedback@takagiramen.com or  @ 91707870 by whatsapp to making it right as quickly as possible."
"Goodness gracious. Both onigiri i got from them are spoilt. Noodles are doughy, soup is oily. 2nd time ordering and never again. ","Dear Valued customer,
We are truly sorry about the unpleasant experience you faced and would like you to get in-touch with us at feedback@takagiramen.com or @ 91707870 by whatsapp to making it right as quickly as possible."
"The pasta was flavourless and bland. My expectations isn???t high but even for normal standards the carbonara and the prawn pasta really cannot make it.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Foods decent enough, steak was overcooked, miserable portions & lacklustre freshness on Seafood. There is way better value to be found elsewhere. It is currently not worth the asking prices. ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Appreciate that they really did followed what i requesr on it. Overall chicken and soup is good just that fries is abit cold and soggy plus like too less of salt. ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"aglio olio is tasteless, carbonara is watery.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Ordered Chicken Chop set??? seem like one set the chicken is slighly under-cooked???","Thank you for your valuable feedback ???? we hope you have enjoyed your meal, we will look into it and improve further. Hope to hear from you again ????"
"A little expensive, but tasty, especially the truffle fries.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal. Hope to hear from you again ????"
"We ordered fried chicken but the bones were all black and the seasoning flours are too salty. Chef place fried chicken is still the best. No more next time.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"Portions smaller than expected for the price I paid","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"ok only for the set meal","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"ordered prawn aglio oli tasted ???? mixed with chili flakes and olive oil.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal. Hope to hear from you again ????"
"Nice nice nice nice nice. Heads up! Coming back!","Thank you for your valuable feedback ???? we hope you have enjoyed your meal. Hope to hear from you again ????"
"Maybe due to promotional price, the quality and quantity if not on promotion, not worth it. Also Panda Web has problem, Ordered twice and did not get the 25% discount as promised.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"ordered fried chicken sets.Taste is good, & fried chicken were crispy. However, this time round, chicken seemed to be over fried so meat is stiff & dry. Chicken rice chilli is good though.","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and will improve further. Hope to hear from you again ????"
"First time ordered their foods. Their portion is acceptable, just nice. Everyone enjoyed the food and cleared all!","Thank you for your valuable feedback ???? we hope you have enjoyed your meal. Hope to hear from you again ????"
"We love the authentic Bengali food here.Both veg and non veg food are very delicious.","Thank you for your very kind feedback. We look forward to serving you again soon."
"Mint was excellent, one of the best ice cream our family had had for quite a while.","Thank you so much for the kind comment, really appreciate it ????. We are glad that you enjoyed the gelato (we use real mint leaves inside) and waffles. Hope to receive your order again soon!"
"Hi. That was amazing.
Loved that it's not overly sweet.","Thank you for the honest feedback. We are glad that you enjoyed our gelato creations! Our gelato and waffles are created to be not too sweet (For Singapore and Asian taste buds) ????. Hope to receive your order again soon :D"
"Nice variations.. ","Thanks much for rating us????????"
"Ordering it for the 3rd time. Dont need explain much ba? Otherwise wont be ordering the 3rd time in short span of time. HAHAHAHAHA it just hits the spot every single time. Im obsessed. ????????????","Hi there,

Thank you for your review and support ????"
"Wow this food was terrible. The tempura chicken was 80% breading, almost no chicken, sides were all unseasoned and tasteless, beef curry portion was tiny and creamy and did not taste good. Dont order","Dear Customer, pls allow us to clarify: We do not use breading in our Tempura batter & don't sell beef curry. We serve Japanese fusion bento, our items are mix of Japanese cuisine and fresh salad items  Hope this clarifies, thank you for feedback."
"Everything was great! ","Thank you????"
"To be very honest and blunt, vegetables and tofu in the mala hotpot tasted like they were left outside for a few days???I may just be unlucky but sorry it was not good. ","So sorry to see your review and really appreciate your support,we have taken very serious action to this matter and ensure it wouldn't happen again."
"Missed my rice for two times ","So sorry to see your review and really appreciate your support,we have taken very serious action to this matter and ensure it wouldn't happen again."
"1 hour to deliver ","1st sorry for the inconvenience , your food we already done n rider pick up already but i don't know why the food didn???t not send n sometime Foodpanda don???t have a rider come n pick up the order it is happening a few case already"
"took 1 hour to cook","1st sorry for the inconvenience , your food we already done n rider pick up already but i don't know why the food didn???t not send n sometime Foodpanda don???t have a rider come n pick up the order it is happening a few case already."
"It would be nice if the sambal portion given be a bit more. But thankfully, the taste all superb! Will order again & hopefully they give more sambal cos that is the unique thing about this store","Thank you for your order. Do help us to request more sambal in your order and we would be very happy to serve you.????"
"missing cutleries ","Hi so sorry about the incident. We will take note."
"very good tasty food.","Thank you for your support ! We hope to see you again??????"
"Bread with BBQ pork is very nice. All ingredients are fresh. The coffee smells delicious, just like drinking in Vietnam.","Really appreciate the comments. It gives my team and myself a real boost toward what we do for our valued customers. Hope to see you soon"
"I love their food. Easy to eat. ","Really appreciate the comments. It gives my team and myself a real boost toward what we do for our valued customers. Hope to see you soon"
"one of the better pork/chicken banh mi i had around my estate! and thanks for fulfilling all my requests. oh ya. thanks for nice coffee too! ","Really appreciate the comments. It gives my team and myself a real boost toward what we do for our valued customers. Hope to see you soon"
"I ordered Kiwi and mango pamelo yesterday to try and I love it!  Today I ordered a few different kinds to share with my colleagues and they love all the flavours! Thank you!  We will definitely order!","Thank you so much for your wonderful review! We're thrilled to hear that you and your colleagues enjoyed our drinks. Your satisfaction means a lot to us, and we look forward to serving you again soon!"""
"Kids love it. Even no sugar version is sweet enough","Thank you for your review, we look forward to serving you again soon!"
"Always loved my bamboo bowls. I just wished there is the option to add more tofu instead of meat ( where it makes sense)","Hi, thank you for the 5-star review. We will look into having our side options on delivery platforms soon. Thank you once again for loving our bowls!"
"reach my house , sauce leak out ...and container break . ","So sorry to hear about this issue. Have taken your opinion and feedback and have inform the outlet about this. Really sorry about the unpleasant experience. But really thank you for the support and hope will see your order."
"Good ice cream and waffles! Even got a cute note from the owner! ","Thank you for the kind comment and feedback. Really appreciate it. I am glad that you enjoyed the waffles and gelato ice cream :)"
"Nice and savory ","Dear valued customer , we appreciate your 5 star review and will strive to better and maintain the quality !"
"Fish and chips - the fish a bit on the smaller side","Thank you.Will take note..????"
"The chicken chop totally different from the picture??? taste ok","Thank you????????..Will take note."
"the beef was too spicy and I specially to ask for it to be less spicy","Hello, since some of our dishes are inherently spicy, even if the spiciness is reduced, the reduction in spiciness may not be obvious due to the natural spiciness of some ingredients. We apologize for any inconvenience this may cause you."
"ordered the lontong and it was so bad. it tasted like perfume. it was disgusting and my kids vomitted all of it out.","Dear DanishaDiana, we take this allegation seriously, if our lontong made u vomit, im sure our outlet will have a lot of return plates but none
"
"ordered the lontong and it was so bad. it tasted like perfume. it was disgusting and my kids vomitted all of it out.","Dear DanishaDiana, we take this allegation seriously, if our lontong made u vomit, im sure our outlet will have a lot of return plates but none
"
"Food was too bland. Rasam was not fresh, veggies were not properly cooked. Importantly food was delivered 90 mins late. ","Dear customer
Apologies for the recent incident,,we make sure to serve you better next time.
"
"Nowadays Very very very Worst food we are getting from Jurong East Anjappar???We are much disappointed???this is 2nd time i wasted my money???I ordered Mutton Briyani and Soup both waster and Bad taste expe","Dear customer
Apologies for the recent incident,,we make sure to serve you better next time.
"
"Egg Curry Utthapam had mutton in it and this was not mentioned in the menu. ","Dear customer
Apologies for the recent incident,,we make sure to serve you better next time.
"
"Mutton briyani was so tenderi and flavourfull must try ","Tq sir please order again"
"i ordered at 10 56, but the order arrived at 1:46.","Because of heavy rain food was late we improved for next time tq"
"Generous portion and tasty. Highly recommended one of the best prawn noodle in sg thats around for 40years","Thank you for your support !!! Appreciate your 5 stars !!!!"
"Nice taste","Hi

Thank you for taking the time to leave us a review and liking our drinks. Hope to have your support again ????"
"Dry pork belly, no sauce. Taste no nice.","Apologies for the experience. We strive for flavor. Long pick-up time. Committed to freshness. Reviewing processes to prevent recurrence."
"The rojak sauce is rudely spicy , couldnt enjoy the taste the rojak sauce at all.  First time Naina disappoint me . ","We are so sorry about it we will bring down the spice level"
"The meat is hard and burnt. You put kecap to cover it up. Its so bad i need my money back. I cant eat this food. This is third time i received bad food from here. I dont recommend to anybody to yours","Thank you for your Gracious comments"
"The rice is uncook. A few times i odered with the uncook rice. How can i get the refunds. I cant eat at all.","Thank you for your kind & Courteous comments"
"love the biryani ","Hi Wei,

Thank you so much for taking the time to leave us this amazing review. We are very happy to have met your expectations.

Looking forward to serving you again!

Tayyiba Restaurant"
"awesome!!! it's yummy,  excellent!!!
love it !!!","Thank you! Great to see you enjoy Rich Burger!"
"this time round the drinks that bought was way too blend and  bitter... I did stated as all ""NOT TOO"" sweet. means do not put to much syrup... the blue soda was ok.. but the others was disappointing.","I apologize for the disappointment. We'll ensure better balance and sweetness in future drinks. Feedback helps us improve. Thank you for bringing this to our attention."
"Soup was piping hot and tasty. The portions were just nice for one person. Would be better if there was chili ","Thank you for your kind words!"
"impressive package good for gift and travel . Drinks are delicious and somewhat healthy. definitely worth repurchase. ","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"Nice. ","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"service standard does not slip. the salad was warm in its keep warm pouch and similarly the drink was kept cold  i enjoyed the salad and the drink. will order again","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"i like the light taste of its sslad","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"The flavors do not disappoint. Utterly enjoying the concoctions they come up with. They make herbal drinks a joy to consume. Nice touch on the packaging. Drinks arrive cold. ","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"slight slip in service stsndard","Thank you,we're really appreciative of your substantive comments."
"very crispy chicken and fries
 good quality and taste","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"Pasta was tasteless. Chicken burger barely have any salted egg sauce. not worth it at all","Thank you for your valuable feedback ???? We will look into it and sorry for your experience. We hope to hear from you again ????"
"Awesome. This is call cooking with love. Soto Ayam is full of flavour. Superb sedap. Sate babat and ayam is soo good. Terbaik. Good job. Thank u The Warung. Keep it up ????????????????????????","Thank you for your support & kind reviews. We hope to continue serving you our delicious food ?????????????"
"Cup size is small for its price, not value for money. Photos are misleading. No sugar level to choose. Too bland. Cups are not sealed by machine which cause some spillage. ","Apologies for any inconvenience caused. Your feedback on sugar levels and customization is valuable. We're committed to improving and addressing your concerns. Please contact us. Thank you!"
"The rice is fragrantly good ","Thank you so much for your review! :)"
"Food was great but portion was a little small","Hi, first of all, thank you so much for ordering with us, and also leaving your feedback. We appreciate you.
We would like to thank you ! ??????????????"
"Food is COLD!!","Dear Sir/Madam
As per the order instruction Not toasted, and the food is supposed to be cold, please refer the order.
Thank you.
"
"The ramen was okay. Just that the onigiri expires date has been peel off, therefore not sure if the item is expired. ","Dear valued customer,
We sincerely apologize for your unpleasant experience. Please kindly reach us on WhatsApp or phone at 91707870 so that we can solve the issue.

Sincerely
Customer Care Team"
"Authentic, sweetness is juts right! ","Thank you ????"
"Chicken wasn't nice at all","We???re really sorry to hear we didn't meet your expectations on your last order. The Wayang team takes your feedback seriously and are committed to making things right. Please do try our other items on the menu too, we hope to see you again soon!"
"Would be better if they didn't run out of stock of what I wanted to eat.","We???re really sorry to hear we didn't meet your expectations on your last order. We will be looking for ways to improve our forecasting accuracy. Thanks for your patience and understanding. We hope that you give us another chance to serve you :)
"
"ordered many times but this time the cucumber was abit sour and so is the rice today . but the beef satay never fail my expectations. it is alwys so soft and taste real good .  ","We???re really sorry to hear we didn't meet your expectations on your last order. The Wayang team takes your feedback seriously and are committed to making things right. We hope that you give us another chance to serve you :)"
"waiting time was so long, buy if u can wait","Thank you for visiting us again. Our team works continuously to create great customer experiences in the preparation process. We???re sorry to hear that we missed the mark here and hope to improve ourselves in the future."
"The food taste good here, hope all the best for this restaurant ??????????????????","Hello, thank you for the compliment, we really hope to receive your order again soon ???? We are glad you enjoyed the food"
"very fast delivery. thank you seller. my friend and I likes so much. ","Thank you for ordering!"
"Great taste! ","Thank you so much for your kind words! Your satisfaction is our top priority, and we look forward to serving you again soon."
"Very tasty though also slightly salty broth. Chilli lacked kick. Additional bergedil should have been packed separately (imho) cos it had disintegrated upon delivery.","Thanks for the feedback. We will take in your feedback constructively."
"Seller actually follow instructions. Food is great as per norm. Love it.","Thank you for your support
"
"the only thing that I am not happy was that my chicken was eaten by someone.  I had to reorder my item again n had to pay $6 after the voucher $15

I just hope this dies not happen again","How can we send you food that is eaten by someone? This is illogical."
"Today food is tasty but the pork has become smaller in size.","So sorry regarding that , currently the pork we received was uneven sizes compare to last time. Thanks for your feedback and wish you will continue support us ."
"Good food! Enoki mushroom was especially crispy. Only that the butter prawn was a tad spicy. Wish I knew it beforehand because it was ordered for a child.","Thank you for your wonderful feedback! We're delighted to hear that you enjoyed our food.We appreciate your input about the spiciness of the butter prawn and will definitely take this into consideration for the future."
"Wrong items and spill ","Dear customer, we are sorry that you received the wrong items for your orders! We have fully refunded the order amount. As for the spilled items, we are sorry to hear that however, when we passed the drinks to the rider, it was in perfect condition."
"The delivery platform said it would be delivered in 50 minutes, but it actually took nearly three hours. The delivery of this cake was very slow. Very disappointing.","Dear Valued Patron,

We are sorry for the inconvenience caused.

Please be assured that we will work on your feedback to give a better experience in the future.

Flowerly Yours,

Team fnp.sg"
"Delivery was too long and expensive... cake was overpriced for size and taste.. ","Dear Valued Patron,

We are sorry for the inconvenience caused.

Please be assured that we will work on your feedback to give you a better experience in the future.

Flowerly Yours,

Team fnp.sg"
"was delicious ","Dear Valued Patron,

We appreciate you taking out time and give your valuable feedback.

We are so happy that you are happy. We will do our very best to continue to not only meet but exceed your expectations.

Flowerly Yours,

Team fnp.sg"
"too plain for the basic chicken rice, thought got shredded chicken or veges but its ok overall flavouring is nice!","Dear Valued Patron,

We are sorry for the inconvenience caused.

Please be assured that we will definitely work on your feedback to give better experience in the future.

Flowerly Yours,

Team fnp.sg"
"Very slow","Dear Valued Patron,

We are sorry for the inconvenience caused.

Please be assured that we will work on your feedback to give you a better experience in the future.

Flowerly Yours,

Team fnp.sg"
"Hair inside cake..Completely ruined experience & wastage of money","Dear,

We sincerely apologize for the inconvenience caused. Please call or send us a WhatsApp message to +6597279363 and we will do the needful.

We will certainly do our best to improve your future experience.

Flowerly Yours,

Team fnp.sg"
"Haven???t received the cake and haven???t received the refund until now!!!!","Dear,

We sincerely apologize for the inconvenience caused. Please call or send us a WhatsApp message to +6597279363 and we will do the needful.

We will certainly do our best to improve your future experience.

Flowerly Yours

Team fnp.sg "
"You forgot my rice. I got dishes but no rice. ","super apologetic about this incident.
if you happen to be in tampines mart, please make known to our team to give you a complimentary item. thanks"
"Delivery was quick & all the food very nice.
We enjoyed our dinner very much.
Plan to order again at a later date.
Kudos to the chef & delivery guy.
Thank you.","Thank you so much for your kind words! We're thrilled to hear that you enjoyed your dinner and that our delivery service met your expectations. Looking forward to serving you again on your next order."
"Chicken thigh juicy but no seasoning. Sambal saved the day. Chicken karage tasty. Pork belly so-so. Miso soup was fried shallots & seaweed soup, zero miso flavor. Choose no ikan bilis = no peanuts too","We're sorry to hear that some aspects of your meal fell short of expectations. We'll certainly look into all of the above as we take food quality seriously. Hope to provide you with an better dining experience in future."
"The signature pork only 6 small pieces pork . Sides for 3 paxs are small qty. Not that fantastic. ","We appreciate you taking the time to share your feedback. We will review and strive to provide a satisfying portion size for all our customers, hope you serve you better again in future!"
"Very cute waffle shop! great waffle that's not overwhelming and great tasting ice cream! I would love to buy again! thanks for note ","Thank you for the kind comment ???? we are glad you enjoyed the gelato and waffles. We hope to receive your order again soon!"
"The peach smoothies no taste like water very bad experience ","We sincerely apologize for the unpleasant experience. Ensuring quality is our priority, and we will investigate the issue. Please contact us directly so we can make it right for you."
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Ordered 2 fried rice and one char kuay teow.
Instead, received mee goreng. Its salty. ","Thank you for your feedback.
We are sorry that we may have overlooked your order.
We hope it won't deter you to order food from us again."
"The portion was so little!!!!!!","Thank you for your feedback.
We are sorry we've not been able to meet your expectations this time.
We hope it won't deter you to order food from us again."
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"???????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Seriously over priced! The portion of the oxtail soup doesn't justify the price At ALL! 1st and last time I'm ordering from here. ","No problem at all, it means you are not our target market. We prepared the food according to our SOP"
"Food was cold ","Hi,

If you would like to have hot, you may have it dine in at our restaurant. Otherwise, you may reheat it using microwave

Please be common sense that delivery will take sometimes to reach the destination. "
"cosy shop and nice drink ","Thank you for your support!"
"Tasty ????","Thank you for your support!"
"I ordered the peach lemonade and I really love it! Delivery on time too. Price is reasonable as well. I will be ordering soon!","Thank you for your support!"
"Fast delivery but food was not as nice when we sit there and eat . Dont know why . ","Thank you for your feedback.
We apologise we've not been able to meet your expectations this time.
Hope it won't deter you to order food from us again."
"????????????????","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Asked for no beansprout.. but still they put in.. but lucky not much.. anyway food is very good as always","Thank you for rating us 5 stars.
We are sorry if we've overlooked your request.
Hope it won't deter you to order food from us again."
"Usually the salted egg chicken is nice but this time, majority of the sauce was just oil mixed it with some salted egg ","Thank you for your feedback.
We apologise we've not been able to meet your expectations this time.
Hope it won't deter you to order food from us again."
"??????????????????????????????","??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????"
"Ordered 2 porridges. Pork ball + lean meat porridge taste not bad but century egg lean meat porridge is tasteless! Basically like plain porridge with meat & century egg.","Hi, all porridge base are the same "
"not really. food not that much and no utensils as requested... ","Thank you for your feedback. We are sorry we've not been able to meet your expectations this time. Hope it won't deter you to order food from us again."
"The cockles can???t open & the crab meat is not fresh.I normally order from this restaurant but today very disappointed.","Thank you for your feedback.
All feedback is important and we're sorry to hear that it did not meet your expectation this time.
Please know that we'll be addressing this review to improve on our food quality and do better in the future."
"Tasty food especially the cockles fried rice.","Thank you for rating us 5 stars. Hope to serve you again soon!"
"Ordered 2 items. Only 1 item received!! Now i have to pay more delivery fee and small order fee to order my drink from somewhere else!! ","im the one who attend the rider ask him to pick the drink together with the food. I turn around  saw the drinks  was there .try to contact the help centre asusual no use.sorry"
"The drinks are superb! Will definitely order again!","We appreciate for your support and review."
"The quality of the food is meh especially given the price line. The green curry was super oily and horrible. The chicken is a bit tough. Not a satisfying meal. ","Thank you for bringing this to our attention. We???re sorry you had a bad experience. We???ll strive to do better."
"yum ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"Chanced upon the listing. Decided to try! Nice pasta and grill! ","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"Very good! Get truly good alfredo pasta rarely in sg. quite satisfying ????","Thank you so much! :)) Hope to receive your order again soon. <3"
"excellent Khao Soi and spring rolls","Thank you so much for taking the time to leave us a 5 star rating - it's much appreciated!"
"Great.","Thank you! Hope you enjoy Rich Burger!????"
"Nice ","Thank you! Hope you enjoy Rich Burger. :)"
"Very nice, must try. ","Dear Customer , Thanks for your support Too!"
"Disappointed. Took 1 hour from ordering to delivering of food. From receipt food was pick up about 12min from placing the order. I can walk to the stall in 5min. Order from panda if you need cold food","Hi Sir/Mdm, if the feedback is regarding foodpanda's slow delivery, i'd suggest that you reach out directly to them. Otherwise by leaving a rating/feedback here, it might give others the wrong impression that our food ia served cold. Thank you."
"tasted pretty good. macaroni is not bad","We're glad to hear you enjoyed your meal and found our macaroni to your liking! We strive to deliver excellent taste and quality in all our dishes. Your feedback is greatly appreciated, and we hope to serve you again soon. Thank you!"
"Wonderful taste, i like it. Fast delivery.","Thank you! We're delighted to know that you enjoy the wonderful taste of our product and appreciate our fast delivery. Your satisfaction is our top priority!"
"wrong order and chicken wasn't seasoned as is very blend like just normal fried chicken compared to the usual times that I buy","Saw your review and really sorry about this unpleasant experience. We have taken very serious action to the stall to ensure such matter wouldn't happen again. Really so sorry about this. And thanks you for the support and hope to see your order again"
"I paid money to add on pearl for my drinks but they didnt even give me!! Refund!!!","Thank you for your feedback. I am sorry for your experience, please accept our sincere apologies and contact 97582636 for a refund."
"After a long time, I am eating a delicious homemade thosai! The texture and softness and the ample size is just amazing. The chutneys are authentic and delicious too. Thank you. You made my day!????????","""Thank you for your positive review! ?????? We're committed to improving and providing you with the best. Please continue to support AL-YASIN. Your loyalty means everything to us."""
"Missing orders","Missing your head!"
"always the best malay food around the area, never disappoint","Thankiu... yah we aim to be best n most affordable malay store  in syaallah"
"First time ordered from this stall, the rice is nice and gravy taste good too. ","Thankiu... always a pleasure to be at ur service..."
"This is second time ordered. Unexpectedly try their curry fish head. I surprised that it was so tasty and big portion with a lot vege. Recommend buy from Soon Huat (Jln Kayu). ","thanks so much for your recommendation"
"No chilli was provided, spring chicken was overfried, bun and fries dripping with excessive oil. additional order of onion rings was equally oily. Concluding, the whole meal was distasteful!","Thank you for your feedback! we always do drain the oil however i think it is not drained enough in for this order. We will improve on our food, do patronise us again!"
"Drink was spill out","Dear Customer

Thank you for patronizing our Subway.

We apologize for the unpleasant delivery experience. We have feedbacked to FP on the dappled drink and will commit to improving our service.

We hope to see you again soon!

Cheers
Subway"
"My favourite healthy meals","Dear Customer

Thank you for patronising our Subway outlet.

We hope that you enjoyed your meal and we hope to see you again!

Cheers
Subway
"
"1st time order is ok and delicious with full cream coconut taste.Today order ,Candol is hard and difficult to chew, less coconut milk and more crushed ice.It is good keeping the same taste standard .","Hi Customer,

Thanks for your continue support and valuable feedback. We will look into the matter. ??????

Have a nice day "
"Coconut is thick and yummy. Thanks.","Thanks for the support and compliment. ????"
"This time delivered drinks were totally melted. I've ordered previously & usually ?? or less melted. Still taste good but not as yummy... too bad.","Dear Customer,

We apologizes. The blend time is standard per cup.
Most of the time merchant have no control over the rider and delivery duration. Hence, that will contribute to the melting of the drink"
"tastes ok","Thanks for the compliment and support ????"
"Amazing The food is very delicious, very good value, the rice is not dry,  And the chicken wings taste very good, overall nice .definite will order again.","????????????
"
"usually i ordered it was good. yesterday, duno why put ice kacang durian in small container. ","Hi. So sorry about this.
Will look into the matter. "
"Typical normal nasi lemak tht can be commonly found anywhere.Cheated by reviews.Overpriced and stingy with portions n sambal chilli. Very common chilli with no reason to charge or be stingy in giving.","Hi there. We have already informed our staffs know with regards on your feedback.
Thank you for letting us know. We will take note and improve on this. "
"my extras isnt added","Dear Customer

Thank you for patronizing our Subway.

We apologize for the unpleasant delivery experience. We have feedbacked to FP regarding this issue and will commit to improving our service.

We hope to see you again soon!

Cheers
Subway"
"ONLY RECEIVED 2 CUPS OF HOT DRINKS, 1 SET OF BREAD AND MISSING 2 SETS OF HALF BOILED EGGS ! THAT???S THE WORSE ORDER I EVER HAD AND TERRIBLE !! WILL NOT ORDER FROM **FULL HOUSE** AGAIN !!","Hi there,
Thank you for your feedback. However, do note that the toasts set does not include soft boiled eggs. "
"I did not receive Gai Lan event hough they charged for it.","I???m extremely sorry for this incident, we are trying to refund you back the money. "
"Delicious!! Thank you! ????????????????????","????????????????????????????????????????????????????"
"Fish was good,vege never wash properly","Over the 100+ customer  we served u are the only one saying vege not wash properly???. So lucky???. ????????"
"good as always! ","Thankiu its our pleasure to provide u with the best, delicious, cleanly prepared food everytime! ??????????????????????"
"Slow delivery. Expensive. Taste is below normal. ","Sorry to hear about your unpleasant experience. Usually the delivery takes more time after midnight when there is not enough riders while there are more delivery orders. And, this is outside of our control. "
"Burge No egg","could you please send your order id"
"super nice dessert in a bottle!
convenient for drink","Appreciate and thank you for your review, we look forward to serving you again."
"the mee rebus egg is spoilt n Soto is not as usual taste","Mdm/ sir all our food prepared daily... so if u say spoil I duno what to comment... if really spoil u can ask for a refund from panda.. I will not dispute ur refund dun worry...."
"Good Portion and taste.","????????????????????????"
"great food!!! ","U r a great customer too"
"Tried rendang this time. very good. tender meat ????","????????????????????????"
"Cannot accept the taste??? very artifical and i not even know what im drinking???.","Thank you for your feedback.  I apologize for the non-traditional taste. If you're open to trying something else, we offer classic options like our popular Thai milk tea and Mint Cocoa. We'd appreciate the opportunity to serve you again."
"the drinks is quite taste less. ","Thank you for your feedback! We will do our best to improve!"
"very bad taste... poor quality and same gravy for both items","Which item you ordered..could you send your order id"
"there is no samble ...just give curry only","Which item you ordered.. could you send your order id"
"Kway Chap was meat ingredients was ok but the soup for the kway was not enough. No garnish of fried onions or chinese celery either. Porridge was lousy, no seasoning tasted bland. ","Thanks for your constructive feedback, we will look into this. Sorry about it!"
"The drinks were deliciously refreshing and the sweetness level just nice for me.. will buy again in future!! thank you ????","We're pleased you enjoy our drinks ??? Whether you prefer timeless classics or contemporary twists, there's an option to suit everyone's taste. We are here for you anytime! Thank you for your support!"
"yummy and refreshing ????????????????????????????????????","Thank you so much for your support and glad you enjoyed our drinks!"
"Excellent value, fresh ingredients and fast delivery!
Only complaint was despite being asked and indicating not needed, plastic cutlery was included :(","Thank you so much for your feedback!  We will def take note next time!  Have a wonderful week ahead!"
"Supergood food","Thank you so much for your amazing review!  Have a wonderful week ahead!
"
"Trying this for the first time. Very good size portions of meat and veggies and variety. Taste fantastic. Will certainly order again.","Thank you so much for your amazing review!  Have a wonderful week ahead!"
"good taste but portions a bit small. ordered two portions of protein and it was still not enough. only had like 8 mini cubes of chicken in one portion.","hello!  thank you so much for your review!  could you kindly reach out to us at hello@superfoodkitchen.sg so that we can follow up?   looking forward to hearing from you!"
"Inconsistent serving size. Of 2 meals one was what I expected from past orders. The other seemed like a half serve.","hi we are so sorry to hear about your experience!  could you kindly reach out to us at hello@superfoodkitchen.sg so that we can follow up?  looking forward to hearing from you!"
"Quite expensive. Ordered a large bowl of prawn mee $15 without delivery fee. But come like only add a bit ","Dear valued customer,

Thank you for taking the time to share your feedback with us. We will take note and increase portion sizes

But also Do take note of 30% mark up due to using platform services too.
"
